volume,chapter,day,title,url
3,2,4,시편 19-24편,https://www.youtube.com/watch?v=NncQic7yXHE
3,2,5,시편 25-30편,https://www.youtube.com/watch?v=Zy_y7ZmYwzw
3,2,6,시편 31-36편,https://www.youtube.com/watch?v=ezKjfZ2UysA
3,3,1,시편 37-42편,https://www.youtube.com/watch?v=w3p1BdvvozM
3,3,2,시편 43-48편,https://www.youtube.com/watch?v=CytdIciWnbo
3,3,3,시편 49-54편,https://www.youtube.com/watch?v=bKww5yEn664
3,3,4,시편 55-60편,https://www.youtube.com/watch?v=S7MTRivOyyQ
3,3,5,시편 61-66편,https://www.youtube.com/watch?v=7pYpQe8KuP8
3,3,6,시편 67-72편,https://www.youtube.com/watch?v=h--0xm2hwF8
3,4,1,시편 73-78편,https://www.youtube.com/watch?v=4wlO6G1R9ug
3,4,2,시편 79-84편,https://www.youtube.com/watch?v=Oc_WRPnxF-A
3,4,3,시편 85-90편,https://www.youtube.com/watch?v=AGNOadKTsS4
3,4,4,시편 91-96편,https://www.youtube.com/watch?v=ic9RpK1aZnE
3,4,5,시편 97-102편,https://www.youtube.com/watch?v=r4gpBx-ETOA
3,4,6,시편 103-109편,https://www.youtube.com/watch?v=E0MJie7f-TQ
3,5,1,시편 110-115편,https://www.youtube.com/watch?v=X2XmjbE2a7c
3,5,2,시편 116-120편,https://www.youtube.com/watch?v=6i94KTjBrxA
3,5,3,시편 121-125편,https://www.youtube.com/watch?v=90m_ShatEXE
3,5,4,시편 126-130편,https://www.youtube.com/watch?v=oF_jF2rRBVw
3,5,5,시편 131-140편,https://www.youtube.com/watch?v=M9MX_Ek-kp8
3,5,6,시편 141-150편,https://www.youtube.com/watch?v=V3tF1yRLb4M
3,6,1,잠언 1-5장,https://www.youtube.com/watch?v=ulZK2c7yIkM
3,6,2,잠언 6-10장,https://www.youtube.com/watch?v=jsnJwDzQ2Rg
3,6,3,잠언 11-15장,https://www.youtube.com/watch?v=zGwCcEZ6XjM
3,6,4,잠언 16-20장,https://www.youtube.com/watch?v=E6j8BzscC-o
3,6,5,잠언 21-25장,https://www.youtube.com/watch?v=j1Jef03tOsU
3,6,6,잠언 26-31장,https://www.youtube.com/watch?v=itMOlhNYgTQ
3,7,1,전도서 1-3장,https://www.youtube.com/watch?v=HoL7TfrM4M4
3,7,2,전도서 4-6장,https://www.youtube.com/watch?v=42UDIvwwjyc
3,7,3,전도서 7-9장,https://www.youtube.com/watch?v=tSHNJ6m2V80
